Name,Rate,Name,Link,Year,Start_year,End_year,mean_all,mean_last
Breaking Bad,1.,Breaking Bad,/title/tt0903747/,(2008–2013),2008,2013,9.020967741935484,9.43125
Game of Thrones,2.,Game of Thrones,/title/tt0944947/,(2011–2019),2011,2019,8.83835616438356,6.3999999999999995
Sherlock,5.,Sherlock,/title/tt1475582/,(2010–2017),2010,2017,8.8,8.325
The Wire,6.,The Wire,/title/tt0306414/,(2002–2008),2002,2008,8.688333333333333,8.76
Venner,8.,Venner,/title/tt0108778/,(1994–2004),1994,2004,8.456170212765958,8.629411764705882
Sopranos,9.,Sopranos,/title/tt0141842/,(1999–2007),1999,2007,8.684883720930232,8.738095238095237
Avatar: The Last Airbender,12.,Avatar: The Last Airbender,/title/tt0417299/,(2005–2008),2005,2008,8.680645161290322,8.914285714285715
The Office,13.,The Office,/title/tt0386676/,(2005–2013),2005,2013,8.507142857142858,9.1
Firefly,14.,Firefly,/title/tt0303461/,(2002–2003),2002,2003,8.778571428571428,8.778571428571428
Death Note: Desu nôto,17.,Death Note: Desu nôto,/title/tt0877057/,(2006–2007),2006,2007,8.067567567567568,8.067567567567568
Dexter,18.,Dexter,/title/tt0773262/,(2006–2013),2006,2013,8.578125,7.533333333333334
Narcos,19.,Narcos,/title/tt2707408/,(2015–2017),2015,2017,8.763333333333334,8.700000000000001
House of Cards,20.,House of Cards,/title/tt1856010/,(2013–2018),2013,2018,8.06027397260274,3.9875
House,23.,House,/title/tt0412142/,(2004–2012),2004,2012,8.524999999999999,8.336363636363636
Seinfeld,25.,Seinfeld,/title/tt0098904/,(1989–1998),1989,1998,8.37906976744186,8.359090909090908
Dark,26.,Dark,/title/tt5753856/,(2017–2020),2017,2020,9.100000000000001,9.299999999999999
Hagane no renkinjutsushi,27.,Hagane no renkinjutsushi,/title/tt1355642/,(2009–2012),2009,2012,8.058823529411764,8.058823529411764
Daredevil,31.,Daredevil,/title/tt3322312/,(2015–2018),2015,2018,8.987179487179487,9.084615384615386
Leyla ile Mecnun,32.,Leyla ile Mecnun,/title/tt1831164/,(2011–2014),2011,2014,8.590384615384615,8.546511627906977
Twin Peaks,34.,Twin Peaks,/title/tt0098936/,(1990–1991),1990,1991,8.37,8.272727272727273
Suits,36.,Suits,/title/tt1632701/,(2011–2019),2011,2019,8.579850746268656,8.349999999999998
Sons of Anarchy,38.,Sons of Anarchy,/title/tt1124373/,(2008–2014),2008,2014,8.632608695652175,8.684615384615386
Batman: The Animated Series,39.,Batman: The Animated Series,/title/tt0103359/,(1992–1995),1992,1995,8.06,7.6800000000000015
Mr. Robot,42.,Mr. Robot,/title/tt4158110/,(2015–2019),2015,2019,9.026666666666667,9.361538461538462
How I Met Your Mother,43.,How I Met Your Mother,/title/tt0460649/,(2005–2014),2005,2014,8.153846153846153,7.591666666666668
Freaks og Geeks,44.,Freaks og Geeks,/title/tt0193676/,(1999–2000),1999,2000,8.8,8.8
Supernatural,46.,Supernatural,/title/tt0460681/,(2005–2020),2005,2020,8.5021875,8.407692307692308
Downton Abbey,47.,Downton Abbey,/title/tt1606375/,(2010–2015),2010,2015,8.430769230769231,8.633333333333333
Parks and Recreation,48.,Parks and Recreation,/title/tt1266020/,(2009–2020),2009,2020,8.239516129032259,8.458333333333334
Mad Men,50.,Mad Men,/title/tt0804503/,(2007–2015),2007,2015,8.479347826086956,8.685714285714287
Rome,51.,Rome,/title/tt0384766/,(2005–2007),2005,2007,8.513636363636364,8.610000000000001
The Twilight Zone,53.,The Twilight Zone,/title/tt0052520/,(1959–1964),1959,1964,7.610256410256411,7.486111111111111
Battlestar Galactica,54.,Battlestar Galactica,/title/tt0407362/,(2004–2009),2004,2009,8.143243243243244,8.376190476190477
Lost,55.,Lost,/title/tt0411008/,(2004–2010),2004,2010,8.599152542372883,8.394117647058822
Strengt fortroligt,57.,Strengt fortroligt,/title/tt0106179/,(1993–2018),1993,2018,7.988018433179723,7.609999999999999
Kaubôi bibappu,59.,Kaubôi bibappu,/title/tt0213338/,(1998–1999),1998,1999,8.207692307692309,8.207692307692309
Prison Break,60.,Prison Break,/title/tt0455275/,(2005–2017),2005,2017,8.487777777777778,
Modern Family,61.,Modern Family,/title/tt1442437/,(2009–2020),2009,2020,7.7703999999999995,7.366666666666666
Koombiyo,65.,Koombiyo,/title/tt7450814/,(2017–2018),2017,2018,9.522807017543858,9.522807017543858
Hannibal,66.,Hannibal,/title/tt2243973/,(2013–2015),2013,2015,8.835897435897436,8.799999999999999
Spartacus: Blood and Sand,67.,Spartacus: Blood and Sand,/title/tt1442449/,(2010–2013),2010,2013,8.672727272727272,8.809999999999999
Six Feet Under,68.,Six Feet Under,/title/tt0248654/,(2001–2005),2001,2005,8.515873015873016,8.825000000000001
Community,69.,Community,/title/tt1439629/,(2009–2015),2009,2015,8.318181818181818,8.03076923076923
The Big Bang Theory,71.,The Big Bang Theory,/title/tt0898266/,(2007–2019),2007,2019,7.873309608540924,7.533333333333334
Gravity Falls,73.,Gravity Falls,/title/tt1865718/,(2012–2016),2012,2016,8.65,8.915000000000003
Dragon Ball Z,74.,Dragon Ball Z,/title/tt0214341/,(1996–2003),1996,2003,7.307608695652174,7.13125
BoJack Horseman,75.,BoJack Horseman,/title/tt3398228/,(2014–2020),2014,2020,8.47012987012987,8.868749999999999
The Punisher,77.,The Punisher,/title/tt5675620/,(2017–2019),2017,2019,8.669230769230769,8.523076923076923
Homeland,79.,Homeland,/title/tt1796960/,(2011–2020),2011,2020,8.335416666666667,8.666666666666666
Boardwalk Empire,80.,Boardwalk Empire,/title/tt0979432/,(2010–2014),2010,2014,8.542105263157895,8.662500000000001
Fringe,83.,Fringe,/title/tt1119644/,(2008–2013),2008,2013,8.411,8.676923076923076
Futurama,86.,Futurama,/title/tt0149460/,(1999–2013),1999,2013,7.896774193548387,7.542307692307692
Oz,88.,Oz,/title/tt0118421/,(1997–2003),1997,2003,8.482142857142858,8.55
Big Little Lies,89.,Big Little Lies,/title/tt3920596/,(2017–2019),2017,2019,8.535714285714286,8.499999999999998
Fleabag,90.,Fleabag,/title/tt5687612/,(2016–2019),2016,2019,8.575000000000001,8.999999999999998
Halløj på badehotellet,91.,Halløj på badehotellet,/title/tt0072500/,(1975–1979),1975,1979,8.85,8.933333333333334
Hunter x Hunter,92.,Hunter x Hunter,/title/tt2098220/,(2011–2014),2011,2014,8.174324324324326,8.174324324324326
Præsidentens mænd,93.,Præsidentens mænd,/title/tt0200276/,(1999–2006),1999,2006,8.245806451612903,8.286363636363637
The Newsroom,94.,The Newsroom,/title/tt1870479/,(2012–2014),2012,2014,8.62,9.033333333333331
Scrubs,95.,Scrubs,/title/tt0285403/,(2001–2010),2001,2010,8.134615384615385,6.269230769230769
The IT Crowd,96.,The IT Crowd,/title/tt0487831/,(2006–2013),2006,2013,8.22,8.5
Star Trek: The Next Generation,98.,Star Trek: The Next Generation,/title/tt0092455/,(1987–1994),1987,1994,7.411931818181818,7.291999999999999
Only Fools and Horses....,99.,Only Fools and Horses....,/title/tt0081912/,(1981–2003),1981,2003,8.465625,7.833333333333333
Silicon Valley,102.,Silicon Valley,/title/tt2575988/,(2014–2019),2014,2019,8.288679245283017,8.171428571428573
Person of Interest,103.,Person of Interest,/title/tt1839578/,(2011–2016),2011,2016,9.0252427184466,9.3
Deadwood,104.,Deadwood,/title/tt0348914/,(2004–2006),2004,2006,8.494444444444445,8.525
The Shield,105.,The Shield,/title/tt0286486/,(2002–2008),2002,2008,8.185393258426968,8.438461538461539
Entourage,107.,Entourage,/title/tt0387199/,(2004–2011),2004,2011,8.351041666666667,8.162500000000001
Luther: strømer på kanten,109.,Luther: strømer på kanten,/title/tt1474684/,(2010–2019),2010,2019,8.442857142857141,8.2
Justified,112.,Justified,/title/tt1489428/,(2010–2015),2010,2015,8.620512820512822,8.992307692307692
Naruto: Shippûden,116.,Naruto: Shippûden,/title/tt0988824/,(2007–2017),2007,2017,,
Californication,120.,Californication,/title/tt0904208/,(2007–2014),2007,2014,7.947619047619047,7.483333333333334
24 timer,121.,24 timer,/title/tt0285331/,(2001–2010),2001,2010,8.48102564102564,8.375
Adventure Time with Finn & Jake,122.,Adventure Time with Finn & Jake,/title/tt1305826/,(2010–2018),2010,2018,8.016906474820143,8.276923076923076
The Office,123.,The Office,/title/tt0290978/,(2001–2003),2001,2003,8.507142857142858,9.1
Orange Is the New Black,130.,Orange Is the New Black,/title/tt2372162/,(2013–2019),2013,2019,8.173626373626373,8.253846153846153
Steins;Gate,131.,Steins;Gate,/title/tt1910272/,(2011–2015),2011,2015,8.44,8.44
Sense8,135.,Sense8,/title/tt2431438/,(2015–2018),2015,2018,8.820833333333333,9.016666666666666
The Legend of Korra,137.,The Legend of Korra,/title/tt1695360/,(2012–2014),2012,2014,8.596153846153847,8.561538461538461
Louie,138.,Louie,/title/tt1492966/,(2010–2015),2010,2015,8.288524590163934,8.387500000000001
Broen,139.,Broen,/title/tt1733785/,(2011–2018),2011,2018,8.244736842105263,8.325
Friday Night Lights,140.,Friday Night Lights,/title/tt0758745/,(2006–2011),2006,2011,8.255263157894738,8.561538461538461
Dekalog,141.,Dekalog,/title/tt0092337/,(1989–1990),1989,1990,8.150000000000002,8.150000000000002
Pod prikritie,142.,Pod prikritie,/title/tt1909015/,(2011–2016),2011,2016,9.008333333333333,9.066666666666666
Broadchurch,143.,Broadchurch,/title/tt2249364/,(2013–2017),2013,2017,8.295833333333334,8.275
Peep Show,145.,Peep Show,/title/tt0387764/,(2003–2015),2003,2015,8.200000000000001,8.283333333333333
Spaced,147.,Spaced,/title/tt0187664/,(1999–2001),1999,2001,8.392857142857144,8.542857142857143
Banshee,148.,Banshee,/title/tt2017109/,(2013–2016),2013,2016,8.757894736842106,8.7625
Stargate SG-1,150.,Stargate SG-1,/title/tt0118480/,(1997–2007),1997,2007,7.9211267605633795,8.095
The Americans,151.,The Americans,/title/tt2149175/,(2013–2018),2013,2018,8.472000000000001,9.04
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,152.,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,/title/tt0994314/,(2006–2012),2006,2012,8.286,8.508000000000001
The Inbetweeners,153.,The Inbetweeners,/title/tt1220617/,(2008–2010),2008,2010,8.283333333333335,8.399999999999999
Hagane no renkinjutsushi,154.,Hagane no renkinjutsushi,/title/tt0421357/,(2003–2004),2003,2004,8.058823529411764,8.058823529411764
Ramayan,156.,Ramayan,/title/tt0268093/,(1987–1988),1987,1988,9.243589743589743,9.243589743589743
Orphan Black,158.,Orphan Black,/title/tt2234222/,(2013–2017),2013,2017,8.536,8.5
Buffy - Vampyrernes skræk,160.,Buffy - Vampyrernes skræk,/title/tt0118276/,(1997–2003),1997,2003,8.11655172413793,8.049999999999999
Chuck,161.,Chuck,/title/tt0934814/,(2007–2012),2007,2012,8.603296703296705,8.46153846153846
The Mentalist,163.,The Mentalist,/title/tt1196946/,(2008–2015),2008,2015,8.144370860927152,8.26153846153846
Black Books,165.,Black Books,/title/tt0262150/,(2000–2004),2000,2004,8.144444444444446,8.066666666666668
Das Boot,166.,Das Boot,/title/tt0081834/,(1985–1987),1985,1987,8.7,8.7
Dragon Ball,167.,Dragon Ball,/title/tt0280249/,(1995–2003),1995,2003,7.628758169934639,7.406451612903226
White Collar,168.,White Collar,/title/tt1358522/,(2009–2014),2009,2014,8.04320987654321,8.333333333333334
Criminal Minds,171.,Criminal Minds,/title/tt0452046/,(2005–2020),2005,2020,7.726625386996903,7.839999999999999
Anne,172.,Anne,/title/tt5421602/,(2017–2019),2017,2019,9.055555555555557,9.32
The Originals,173.,The Originals,/title/tt2632424/,(2013–2018),2013,2018,8.843478260869565,8.423076923076923
Dengang i 70'erne,174.,Dengang i 70'erne,/title/tt0165598/,(1998–2006),1998,2006,7.601499999999999,6.75
30 Rock,175.,30 Rock,/title/tt0496424/,(2006–2013),2006,2013,8.026811594202899,8.066666666666668
Psych,177.,Psych,/title/tt0491738/,(2006–2014),2006,2014,8.326666666666666,7.99
Penny Dreadful,178.,Penny Dreadful,/title/tt2628232/,(2014–2016),2014,2016,8.485185185185186,8.522222222222222
Ash vs Evil Dead,180.,Ash vs Evil Dead,/title/tt4189022/,(2015–2018),2015,2018,8.58,8.639999999999999
Legion,181.,Legion,/title/tt5114356/,(2017–2019),2017,2019,8.577777777777778,8.649999999999999
Hercule Poirot,182.,Hercule Poirot,/title/tt0094525/,(1989–2013),1989,2013,7.725714285714287,8.059999999999999
Shin Seiki Evangelion,183.,Shin Seiki Evangelion,/title/tt0112159/,(1995–1996),1995,1996,8.13076923076923,8.13076923076923
Castle,185.,Castle,/title/tt1219024/,(2009–2016),2009,2016,8.347398843930637,7.972727272727272
Altered Carbon,188.,Altered Carbon,/title/tt2261227/,(2018–2020),2018,2020,7.561111111111111,6.6625
Father Ted,189.,Father Ted,/title/tt0111958/,(1995–1998),1995,1998,8.492,8.75
The End of the F***ing World,190.,The End of the F***ing World,/title/tt6257970/,(2017–2019),2017,2019,8.2375,8.287500000000001
The Good Place,191.,The Good Place,/title/tt4955642/,(2016–2020),2016,2020,8.272,8.16153846153846
The Leftovers,192.,The Leftovers,/title/tt2699128/,(2014–2017),2014,2017,8.882142857142858,9.15
Ray Donovan,193.,Ray Donovan,/title/tt2249007/,(2013–2020),2013,2020,8.36951219512195,8.32
Samurai Jack,195.,Samurai Jack,/title/tt0278238/,(2001–2017),2001,2017,8.688709677419354,9.360000000000001
Skam,196.,Skam,/title/tt5288312/,(2015–2017),2015,2017,8.411627906976742,8.43
The Killing,197.,The Killing,/title/tt1637727/,(2011–2014),2011,2014,8.388636363636364,8.733333333333334
Bates Motel,199.,Bates Motel,/title/tt2188671/,(2013–2017),2013,2017,8.600000000000001,8.91
The Knick,200.,The Knick,/title/tt2937900/,(2014–2015),2014,2015,8.545,8.59
Star Trek,201.,Star Trek,/title/tt0060028/,(1966–1986),1966,1986,7.46375,6.966666666666666
Behzat Ç.: Bir Ankara Polisiyesi,202.,Behzat Ç.: Bir Ankara Polisiyesi,/title/tt1795096/,(2010–2019),2010,2019,8.007619047619047,8.866666666666667
Coupling,203.,Coupling,/title/tt0237123/,(2000–2004),2000,2004,8.549999999999999,7.8500000000000005
Misfits,205.,Misfits,/title/tt1548850/,(2009–2013),2009,2013,7.847368421052631,7.3125
How to Get Away with Murder,206.,How to Get Away with Murder,/title/tt3205802/,(2014–2020),2014,2020,8.58,8.573333333333332
Black Sails,207.,Black Sails,/title/tt2375692/,(2014–2017),2014,2017,8.644736842105264,8.790000000000001
Justice League,209.,Justice League,/title/tt0275137/,(2001–2004),2001,2004,8.186538461538461,8.415384615384616
The Good Wife,210.,The Good Wife,/title/tt1442462/,(2009–2016),2009,2016,8.048076923076923,7.8590909090909085
Veronica Mars,211.,Veronica Mars,/title/tt0412253/,(2004–2019),2004,2019,7.856944444444445,7.9625
The Bugs Bunny Show,212.,The Bugs Bunny Show,/title/tt0053488/,(1960–1975),1960,1975,0.0,0.0
Samurai chanpurû,214.,Samurai chanpurû,/title/tt0423731/,(2004–2005),2004,2005,0.0,0.0
Naruto,215.,Naruto,/title/tt0409591/,(2002–2007),2002,2007,0.0,0.0
M*A*S*H,216.,M*A*S*H,/title/tt0068098/,(1972–1983),1972,1983,0.0,0.0
Jessica Jones,220.,Jessica Jones,/title/tt2357547/,(2015–2019),2015,2019,0.0,0.0
Sarabhai vs Sarabhai,221.,Sarabhai vs Sarabhai,/title/tt1518542/,(2004–2017),2004,2017,0.0,0.0
Kenpû Denki Berserk,222.,Kenpû Denki Berserk,/title/tt0318871/,(1997–1998),1997,1998,0.0,0.0
The Fall,223.,The Fall,/title/tt2294189/,(I) (2013–2016),I) (,013–2016,0.0,0.0
Skins,225.,Skins,/title/tt0840196/,(2007–2013),2007,2013,0.0,0.0
Gilmore Girls,229.,Gilmore Girls,/title/tt0238784/,(2000–2007),2000,2007,0.0,0.0
Carnivàle,231.,Carnivàle,/title/tt0319969/,(2003–2005),2003,2005,0.0,0.0
Boston Legal,232.,Boston Legal,/title/tt0402711/,(2004–2008),2004,2008,0.0,0.0
True Blood,233.,True Blood,/title/tt0844441/,(2008–2014),2008,2014,0.0,0.0
Ezel,237.,Ezel,/title/tt1534360/,(2009–2011),2009,2011,0.0,0.0
Pushing Daisies,238.,Pushing Daisies,/title/tt0925266/,(2007–2009),2007,2009,0.0,0.0
The Morning Show,239.,The Morning Show,/title/tt7203552/,(I) (2019– ),I) (,019– ,0.0,0.0
Højt spin,240.,Højt spin,/title/tt0459159/,(2005–2012),2005,2012,0.0,0.0
Schitt's Creek,241.,Schitt's Creek,/title/tt3526078/,(2015–2020),2015,2020,0.0,0.0
Forever,243.,Forever,/title/tt3487382/,(2014–2015),2014,2015,0.0,0.0
The Adventures of Sherlock Holmes,246.,The Adventures of Sherlock Holmes,/title/tt0086661/,(1984–1985),1984,1985,0.0,0.0
Malcolm i midten,248.,Malcolm i midten,/title/tt0212671/,(2000–2006),2000,2006,0.0,0.0
Gotham,249.,Gotham,/title/tt3749900/,(2014–2019),2014,2019,0.0,0.0
Utopia,250.,Utopia,/title/tt2384811/,(I) (2013–2014),I) (,013–2014,0.0,0.0
